id,pagename,spotkey,categoryid,articletitle,articlecaption,lastmodified,metatag_title,metatag_description,lastmodby,articlebody,metatag_keywords,custom_metatags_override
"6","","","6","Super Sale!","Save over 30%! Limited time only!","4/12/2002 12:00:00 AM","","","","(You can type your article here� you can easily create unlimited articles complete with the optional Title and Caption as shown above. You can also add hyperlinks, photos, or any HTML you wish)","",""
"7","","","6","Advertising","Powerful Marketing Campains that drive sales!","4/12/2002 12:00:00 AM","","","","(Type your advertising opportunities and information here)","",""
"142","","","10","Returns Request","Returns Request","9/9/2011 4:05:00 PM","","","1","As consumers ourselves, we want you to be happy with your purchase.  

Defective Product:  Defective product will be replaced at our expense provided the product was purchased within the warranty period.  HEPA air purifiers have a 10 year warranty and most other products have a 1 year warranty.  There is no need to register your product as we have a record of the purchase.

Buyers Remorse:  If within 30 days of purchase you do not want your Oransi product we will accept it back per our returns policy.  

To initiate a product return:
1.  Click the <a href=""returns.asp"">Returns Request</a>
2.  Complete each field and add any comments for what you are experiencing and how we can best help you.

Someone from our customer service team will follow-up within 24 hours to resolve your request.","",""
"252","","","6","<div class=""article_header""><img src=""/v/vspfiles/templates/OransBL2/images/headings/heading_ContactUs.gif"" alt=""Contact Us"" title=""Contact Us""/></div>","","3/21/2015 11:23:00 PM","Contact Us | Oransi","Have a question about our air purifiers or customer service? Contact us and we'll get back quickly as possible.","45","Oransi LLC<br>
1600 Barton Springs Rd<br>
Ste 6409<br>
Austin, TX 78704<br>
(888) 281-3948 (M-F 8:00-5:00PM CST)<br><br>


For faster service please complete the form below and a representative from our customer service team will follow-up within 24 hours - and within 1-2 hours in most cases.<br><br>
<form name=""eMail"" method=""post"" action=""emailform.asp"">

<br>
<br>
Name (first and last): <input name=""Name"" value="""" type=""text""><br>
Email Address:   <input name=""Email"" value="""" type=""text""><br>
Confirm Email:   <input name=""EmailConfirm"" value="""" type=""text""><br>
Order Number(optional): <input name=""OrderNum"" value="""" type=""text""><br>

<br>
<br>

Type of Request: <select name=""Request"">
<option>Select</option>
<option>Order Status</option>
<option>Shipping</option>
<option>Returns</option>
<option>Cancel Order</option>
<option>Product Question</option>
<option>Dealer Inquiry</option>
<option>Other</option>
</select>

<br>
<br>
Enter comments or questions: <textarea name=""Comments"" rows=""8"" cols=""65""></textarea>

<br>
<br>
Please enter the following code into the box provided:<br>$(Verification_Image)<br><input name=""Verification_Code"" type=""text"">
<input name=""submit"" value=""submit"" type=""submit"">
<input name=""email_From"" value=""cs@oransi.com"" type=""hidden"">
<input name=""email_To"" value=""cs@oransi.com"" type=""hidden"">
<input name=""email_Subject"" value=""Contact Form Submission"" type=""hidden"">
<input name=""email_ThankYou"" value=""Thank you for submitting your request.  We will be following up with you shortly."" type=""hidden"">
<input name=""email_Redirect"" value="""" type=""hidden"">
</form>","",""
"253","","","6","","","4/6/2015 11:12:00 AM","Shipping Policy | Oransi","Wondering when you'll receive your air purifier order? Read the details on our free shipping policy.","6","<!--//<br>-->
<link type=""text/css"" href=""/v/vspfiles/assets/custom_pages/shipping_policy/shipping_policy.css"" rel=""stylesheet""/>
<div id=""shipping_policy_content"">
	<h1>Shipping Policy</h1>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Finn-HEPA-air-purifier-p/ovht9908.htm"" title=""Finn Air Purifier"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/Finn_air_purifier.jpg"" alt=""Finn Air Purifier""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Finn-HEPA-air-purifier-p/ovht9908.htm"" title=""Finn Air Purifier"">Finn Air Purifier</a></h2>
			<div class=""content"">
				Ships in Same Day, When Ordered
				<br/>By 5pm EST Mon-Fri
				<br/><i>2nd &amp; Next Day Shipping Avalible</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-Multi-Carbon-Air-Purifier-p/erik-carbon190.htm"" title=""Erik Multi-Carbon"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_multi-carbon.jpg"" alt=""Erik Multi-Carbon""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-Multi-Carbon-Air-Purifier-p/erik-carbon190.htm"" title=""Erik Multi-Carbon"">Erik Multi-Carbon</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/oransi-v-hepa-max-air-purifier-p/ovhm80.htm"" title=""Max Air Purifier"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/max_air_purifier.jpg"" alt=""Max Air Purifier""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/oransi-v-hepa-max-air-purifier-p/ovhm80.htm"" title=""Max Air Purifier"">Max Air Purifier</a></h2>
			<div class=""content"">
				Ships in Same Day, When Ordered
				<br/>By 5pm EST Mon-Fri
				<br/><i>2nd &amp; Next Day Shipping Avalible</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-M17-Plus-Air-Purifier-p/erik-m17-plus190.htm"" title=""Erik M17 Plus"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_m17_plus.jpg"" alt=""Erik M17 Plus""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-M17-Plus-Air-Purifier-p/erik-m17-plus190.htm"" title=""Erik M17 Plus"">Erik M17 Plus</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-Ultra-Plus-Air-Purifier-p/erik-uplus190.htm"" title=""Erik Ultra Plus"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_ultra_plus.jpg"" alt=""Erik Ultra Plus""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-Ultra-Plus-Air-Purifier-p/erik-uplus190.htm"" title=""Erik Ultra Plus"">Erik Ultra Plus</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-M17-Air-Purifier-p/erik-m17-190.htm"" title=""Erik M17"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_m17.jpg"" alt=""Erik M17""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-M17-Air-Purifier-p/erik-m17-190.htm"" title=""Erik M17"">Erik M17</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-Ultra-Air-Purifier-p/erik-ultra190.htm"" title=""Erik Ultra"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_ultra.jpg"" alt=""Erik Ultra""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-Ultra-Air-Purifier-p/erik-ultra190.htm"" title=""Erik Ultra"">Erik Ultra</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i>
			</div>
		</div>
	</div>
	<div class=""product_container"">
		<div class=""img_width"">
			<a href=""/Oransi-Erik-M16-Air-Purifier-p/m16ap.htm"" title=""Erik M16"">
			<img class=""shipping_policy_image"" src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/erik_m16.jpg"" alt=""Erik M16""/>
			</a>
		</div>
		<div class=""textbox"">
			<h2><a href=""/Oransi-Erik-M16-Air-Purifier-p/m16ap.htm"" title=""Erik M16"">Erik M16</a></h2>
			<div class=""content"">
				Ships in 1-3 Business Days,
				<br/>When Ordered By 5pm EST Mon-Fri
				<br/><i>Expedited Shipping Available</i><br/>
			</div>
		</div>
	</div>
	<div class=""clearfloat""></div>
</div>
<div id=""guarantee_bar"">
	<img src=""/v/vspfiles/assets/custom_pages/shipping_policy/image/bottom_bar.jpg"" alt=""Guarantee Bar"" title=""Guarantee Bar""/>
</div>
<div id=""shipping_info"">
	<br/><br/>All Finn &amp; Max Air Purifiers Ship From Our Nevada Warehouse | All Erik Air Purifiers Ship From Our Pennsylvania Warehouse
</div>","",""
"254","","","6","<div class=""article_header""><img src=""/v/vspfiles/templates/OransBL2/images/headings/heading_ReturnsPolicy.gif"" alt=""Returns Policy"" title=""Returns Policy""/></div>","","4/15/2015 11:21:00 AM","Returns Policy | Oransi","Having an issue with your air purifier? Read our returns policy and learn the steps to replace or fix the unit.","12811","We understand that sometimes you need to return an item and we will do our best to work with you.  You can return your order for any reason within the first 30 days from purchase date per the terms outlined below.  We will send you a return shipping label or issue a UPS call tag to pick up the product.<br /><br /><span style=""font-weight: bold;"">All returns must meet this criteria</span>:<br /><ul><li>Product must have been purchased at oransi.com</li><li>All original packaging and accessories included in return.</li><li><a title=""returns request"" href=""http://www.oransi.com/returns.asp"">Returns request</a> is submitted within 30 of purchase date.</li></ul><span style=""font-weight: bold;"">General Returns</span><br />You can return anything within 30 days of purchase for any reason.  We will send you a return shipping label or issue a UPS call tag to pick up the product.  To help offset the cost that we incur from return shipping and handling we will charge a 10% restock fee. <br /><br />The refund will be credited back to your credit card or paypal account that was used on the order.  Any expedited shipping costs are not reimbursed.<br /><br />For multi-unit orders where all of the units are returned except one unit, we will refund an amount to get the net payment equal to the full price of one unit.  For example, if 2 air purifiers are purchased at a discounted price and one is returned, we will credit back the amount to get your net payment to the price of one unit.<br /><br />All returns will be inspected and we reserve the right to modify the refund amount depending upon the product condition.<br /><br /><span style=""font-weight: bold;"">Defective Products</span><br />
If your product is defective and within the warranty period, please submit a <a title=""return request"" href=""http://www.oransi.com/returns.asp"">return request</a> so we can correct the issue. We will gladly replace any defective product at our cost provided the product remains within the warranty period (10 years for v-HEPA air purifiers and 1 year for most other products) and the product has not been altered in any way and was used as described in the user's manual. 
 Maintenance such as replacement filters for the v-HEPA air purifiers must be performed within the recommended intervals to prevent from burning out the motor.  Warranty policy only applies to the original purchaser of the product.  Consumable items such as filters, washing refills, etc are not covered under the warranty program.<br /><br /><br />View our <a href=""/shipping-policy-a/253.htm"">Shipping policy</a>. <br />","",""
"255","","","6","","","5/19/2015 12:30:00 PM","Testimonials | Oransi","See what buyers think of our wide range of high-performance commercial and residential HEPA air purifiers and air purifier filters.","20664","<div id=""testimonials-wrapper"">
	<h1 id=""header-title"">Testimonials</h1>
	<div class=""testimonials-intro"">
		<p>
			Looking for an air purifier, but unsure which company to settle on? Read the following customer reviews of our industry-standard air cleaning products and outstanding customer service to see why Oransi is the most trusted brand in the air purification market.
		</p>
	</div>
	<blockquote class=""testimonials-section left-box"">
		<p>
			...Your company might consider providing presentations or consultation to other organizations on the art of customer service. It has, unfortunately, become unusual to experience the excellent customer service you provide.
		</p>
		<span class=""author"">- Donald from Michigan</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box"">
		<p>
			This Oransi air purifier is everything promised. It made an immediate improvement in Mom's breathing. She is 94 and has asthma which was worsened by an early Spring with high pollen. It is small enough to carry from room to room. I highly recommend it.
		</p>
		<span class=""author"">- JK from Tennessee</span>
	</blockquote>
	<blockquote class=""testimonials-section green-box"">
		<img src=""/v/vspfiles/templates/OransiBL/landingpages/testimonials/images/oransi-max.jpg"" alt=""Oransi v-hepa Max Air Purifier"" class=""img-right"" />
		<p>
			After much researching, reviewing and head scratching, we chose the Oransi v-hepa Max Air Purifier as we require a very clean environment due to medical conditions. There were less expensive units out there but we were looking for long term reliability and service and one that REALLY cleaned the air. The Oransi looked best and it really is. Very well built, quiet running and effective. I am so pleased that we found this unit and purchased it. The shipping and delivery were as promised. I had a couple of questions and their Customer Service responded amazingly fast. Happy we have it!!!!!
		</p>
		<span class=""author"">- Patrick from Georgia</span>
	</blockquote>
	<img src=""/v/vspfiles/templates/OransiBL/landingpages/testimonials/images/woman-sneeze.jpg"" alt=""Woman Sneezing, Allergies"" class=""img-left"" />
	<blockquote class=""testimonials-section small-left-box"">
		<p>
			Excellent product. The difference in our home is remarkable. Customer service is the best I have ever experienced. Highly recommended.
		</p>
		<span class=""author"">- Panthers Fan</span>
	</blockquote>
	<blockquote class=""testimonials-section small-right-box"">
		<p>
			Cleaner air. Fresher food. No smell. Who can argue with that?
		</p>
		<span class=""author"">- Just Married with Coupons</span>
	</blockquote>
	<blockquote class=""testimonials-section no-box box-image"">
		<p>
			We would like to thank you and Oransi for the excellent product that you manufacture and sell and the excellent customer service that goes with it.
		</p>
		<p>
			This is our second set of air cleaners that we have ordered from you. They are a Godsend for my wife who has severe allergies and asthma and other lung issues. She was exposed to mold and is hypersensitive to any mold or VOCS in the air from cologne, perfume, paint, air pollution, etc. Whenever she can't breathe at home we turn on the Oransi Pro Air Cleaner and within minutes she is able to breathe again. I am an engineer and I appreciate the care that went into the design of this product. The filters are very easy to change and the unit is very quiet at the low and medium settings, and the sound at the high setting where you are moving a lot of air it is not unpleasant. We recently had some drywall work done on our house and the air pollution indicator turned red, but not for long as the air cleaner cleaned the air in a matter of minutes. We are very happy to have found you and will be a customer for life. Thank you again for a wonderful product and the service to back it up.
		</p>
		<span class=""author"">- R & J, Newtown, CT</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box"">
		<p>
			Bought this item a month ago. Wife has terrible allergies and this year has been especially bad for pollen. Happy to say since turning this purifier on she has not had a single problem. We put it in the bedroom because she generally gets worse at night, but not this year. Would buy again without question.
		</p>
		<span class=""author"">- Michael</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box"">
		<p>
			We received the air filter this afternoon. It works just fine. Thank you so much for the quick response to our emails for help and for the equally rapid delivery. We are most pleased with your products and with your terrific customer interactions and response time. Thanks again.
		</p>
		<span class=""author"">- The Henson Family from Livermore, CA</span>
	</blockquote>
	<blockquote class=""testimonials-section tan-box"">
		<p>
			I ordered 2 of these and I am very happy with them. They are quieter than the Honeywells I replaced and much easier to open and close when I want to vacuum the carbon filter. This product does not need the main filter replaced for 2 years and this makes a difference when comparing prices. This product is much better quality than my previous air cleaners. I called the company to ask some questions before I purchased these and spoke with a lady named Katie that was so helpful and sweet. This was a refreshing change!
		</p>
		<span class=""author"">- Elizabeth</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box same-height-5"">
		<p>
			This product is worth its weight in gold. It eliminates pet odor smoke and allergens that fill my home when the window are open. I purchased two machines, one in the kitchen that opens to the entrance of my home and one in the bedroom. Krisp, clean air in the bedroom! I recommend this product highly.
		</p>
		<span class=""author"">- Chris</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box same-height-5"">
		<p>
			I was amazed at how well the Ionic Fridge Air Purifier cleaned the air inside my refrigerator.  After approximately 30 minutes, my fridge didn't have that funky odor that it typically does. Your nose, taste buds and wallet will thank you!
		</p>
		<span class=""author"">- Mommy Living the Life of Riley</span>
	</blockquote>
	<blockquote class=""testimonials-section no-box"">
		<img src=""/v/vspfiles/templates/OransiBL/landingpages/testimonials/images/ragweed.jpg"" alt=""Ragweed"" class=""img-right"" />
		<p>
			I purchased this product a few months ago. As soon as I plugged the unit in I could spell the fresh air. I have had bad allergies for years and have suffered with sinus infections etc. Just recovered from a very bad sinus infection that turned into Bronchitus.
		</p>
		<p>
			I was desperate to find something that could help me not get these allergy illnesses. My wife always ran a fan in the room also due to not being able to fall asleep to my bad snoring..Many nights she left the bedroom to sleep in the spare bedroom. She is much happier now also. I do not snore and if I do it is very light. Not like before. She also likes the sound of the fan to help her fall asleep. There is different levels of fan speed and even on the high speed the unit is very quite. The buttons in the front are easy to understand to turn the unit on and change the settings.
		</p>
		<p>
			The filters seem very easy to install. The unit is sleek and can be placed in the room very small foot print of the room. I can say that since buying and using the unit I have not felt congested during this spring season with all the pollen. The air smells much fresher and I am going to put one in our living area of the home. I would recommend to anyone serious about buying a Hepa filter air purifier.
		</p>
		<p>
			My son has very bad allergies also and is now married. He visited over the Holiday and tried out the unit. He also said he felt much better and slept sound. He plans on purchasing also when he goes back home.
		</p>
		<span class=""author"">- Robert</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box"">
		<p>
			Excellent customer service.  Your Customer Service reputation is what made me choose your product against some stiff competition.
		</p>
		<span class=""author"">- Bruce from Texas</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box"">
		<p>
			It's hands down the best air purifier/deodorizer I have ever tried and now will ever use.
		</p>
		<span class=""author"">- Thrifty Jinxy</span>
	</blockquote>
	<blockquote class=""testimonials-section green-box indented-quote"">
		<img src=""/v/vspfiles/templates/OransiBL/landingpages/testimonials/images/oransi-finn.jpg"" alt=""Oransi v-hepa finn"" class=""img-left"" />
		<p>
			After moving into temporary accommodations, my wife's difficulty sleeping due to allergy-induced congestion became acute and she asked that I attempt to find a portable air purifier that might help alleviate the problem. We had, for several years, used four Sharper Image ionizing units in our prior residence along with an electronic unit built into our HVAC system to address the problem there.
		</p>
		<p>
			After a couple of hours of online research, I decided to try the Oransi v-hepa finn unit and ordered it online with expedited shipping and it showed up a couple of days later-right on schedule. Bottom line: Starting the very first night the unit was plugged in, my wife slept like a baby, and has been ever since. In fact, this morning, she complained that it was really hard to wake up because she has been sleeping so soundly. I don't know how or why, but this item has had far more impact on the air quality in our bedroom than all of the stuff we had plugged in in our last home. We are building a new home and I am seriously considering purchasing two or three more of these units. AMAZING PRODUCT FOR THE PRICE!
		</p>
		<span class=""author"">- Tom</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box"">
		<p>
			The Oransi V-HEPA Air Purifier offers all of the features that consumers are searching for, wrapped up in a small, modern designed unit. The unit itself is not only quiet, but also offers a soothing sound that lulls my girls to sleep at night and I feel confident running the unit all night with its Energy Star rating.
		</p>
		<span class=""author"">- “Deal”ectable Mommies</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box same-height-5"">
		<p>
			I truly have noticed a difference in my fridge. It smells fresher, and I love that it helps keep my food from going bad as quickly. Just what busy moms need! It is also completely silent, which is lovely. On top of all that, it doesn’t require any replacement of filters.
		</p>
		<span class=""author"">- The Bragging Mommy</span>
	</blockquote>
	<blockquote class=""testimonials-section no-box"">
		<p>
			This is a wonderful product. I never write reviews but I wish to state how courteous and helpful your service reps have been. I had ordered it through Amazon over 10 months ago and had a malfunction, your staff quickly helped me find the vendor I had used to purchase the Oransi Finn then guided me through the process of getting a replacement delivered at no expense. In this age of impoliteness, I am impressed by your staff and will definitely purchase more of your high quality products in the future.
		</p>
		<span class=""author"">- A Satisfied Oransi Customer</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box"">
		<p>
			This unit is the best thing I have ever bought. My husband and my dog have allergies and this unit takes everything out of the air. Great product!!!!
		</p>
		<span class=""author"">- Cheryl</span>
	</blockquote>
	<blockquote class=""testimonials-section right-box same-height-3"">
		<p>
			It's a neat little device. No filter. Runs on two AA batteries. Just stick it in the fridge somewhere and let it do its job.
		</p>
		<span class=""author"">- Crunchy Beach Mama</span>
	</blockquote>
	<blockquote class=""testimonials-section tan-box"">
		<p>
			I am pleased to report that the Oransi v-HEPA MAX Air Purifier is indeed really quiet even on the highest speeds. I love that this model is user friendly and it took very little time for me to learn how to use the control features. My favorite feature of this model is the Intelligent Air Quality Monitor which lets me know with a visual indicator whether the current air quality is “Excellent, Very Good, Good, Standard or Poor.” I am extremely pleased with the Oransi v-HEPA MAX Air Purifier as it gives me confidence that I am using an air purifier in our home that provides my family with better air quality. It is affordable for the high performance and effectiveness in regards to other units that I have compared it too on the market as well.
		</p>
		<span class=""author"">- Simply Stacie</span>
	</blockquote>
	<blockquote class=""testimonials-section left-box"">
		<p>
			My very first impression of the product was the size.  It is small! And it takes only as much room as a large lemon!  My second impression was it works!
		</p>
		<span class=""author"">- Mama in the Kitchen</span>
	</blockquote>
	<blockquote class=""testimonials-section no-box bottom-quote"">
		<p>
			I have really bad allergies. We decided that it would be beneficial to order an air purifier to run in our room at night. When I promptly received my product I set it up in my living room just to try out. Within 20 minutes I felt like my airways opened up! We have been using this in our room every night. My husband doesn't wake up stuffy any more. I would highly recommend this product and want to say that it is worth every penny.
		</p>
		<span class=""author"">- Mommy of Twins</span>
	</blockquote>
	<style type=""text/css"">
		@import url('/v/vspfiles/templates/OransBL2/landingpages/testimonials/testimonials.css');
	</style>
	<!--[if lte IE 8]>
		<style>
			blockquote.testimonials-section.left-box,
			blockquote.testimonials-section.right-box,
			blockquote.testimonials-section.small-left-box,
			blockquote.testimonials-section.small-right-box
			{ border:1px solid #93b0b1; }
		</style>
	<![endif]-->
</div>","air purifiers, air purifier, residential air purifiers, commercial air purifiers, hepa air purifiers, best air purifiers, best air purifier",""
"256","","","6","<div class=""article_header""><img src=""/v/vspfiles/templates/OransBL2/images/headings/heading_ForACause.gif"" alt=""For A Cause"" title=""For A Cause""/></div>","","3/21/2015 11:26:00 PM","","","45","<span style=""font-weight: bold;"">Making the world a better place</span>

<br /><br />Giving back is at the core of who we are.  We proudly donate 5% of our income to support student education in science, math and engineering.  It's this community connection where we strive to do much more than is expected by investing our dollars and time. It's these sciences where innovations will come from as we strive to continually improve the quality of life.

<br /><br />We sponsor science fairs for students in the elementary through high school levels as well as providing college scholarships to encourage continued research in the sciences.  To date, we have given 6 college scholarships as well as tens of thousands of dollars to sponsor science fairs for nearly 4,000 students per year.

<br /><br />One of our current projects is in supporting the Austin Energy Science Fair and Intel International Science Fair.  Students in the elementary through high school levels work very hard on their experiments and projects as junior scientists and their months of hard work are a testament to their dedication to learning and furthering their knowledge.  

<br /><br /><span style=""font-weight: bold;"">Here is a video from Austin Energy that gives an overview to the value of the science fairs that we proudly sponsor.</span><br /><br />
<iframe src=""http://www.youtube.com/embed/-PvtIvdVkyQ?rel=0"" allowfullscreen="""" frameborder=""0"" height=""315"" width=""560""></iframe>

<br /><br />The Intel International Science and Engineering Fair (Intel ISEF), the world’s largest international pre-college science competition, annually provides a forum for more than 1,500 high school students from over 50 countries, regions, and territories to showcase their independent research. The Intel ISEF is the premiere science competition in the world exclusively for students in grades 9–12.<br /><br />Another focus for us is in supporting Kiva to provide business loans to entrepreneurs throughout the world.  These investments empower people to improve their lives, communities and in a small way the world in general.

The environment is also a large focus for us.  <br /><br />Check out our <a href=""http://www.oransi.com/environment_s/30.htm"" title=""Environment Oransi"">environment</a> page to see how we are setting new standards to improve the environment we all live in.","",""
"257","","","6","<div class=""article_header""><img src=""/v/vspfiles/templates/OransBL2/images/headings/heading_IndoorAirQualityFacts.gif"" alt=""Indoor Air Quality Facts"" title=""Indoor Air Quality Facts""/></div>","","3/21/2015 11:27:00 PM","","","45","Coming Soon!","",""
"258","","","6","<div class=""article_header""><img src=""/v/vspfiles/templates/OransBL2/images/headings/heading_OurPromise.gif"" alt=""Our Promise"" title=""Our Promise""/></div>","","3/21/2015 11:27:00 PM","","","45","Coming soon","",""
